env_id,nutrients,reactions,ES_Phe,ES_BCAA
Env_0001,"D-galactose, D-glucose, L-alanine","['R_r_1710', 'R_r_1714', 'R_r_1873']",1904.648051,1924.021381
Env_0002,"D-galactose, D-glucose, L-arginine","['R_r_1710', 'R_r_1714', 'R_r_1879']",1905.29144,1879.715246
Env_0003,"D-galactose, D-glucose, L-asparagine","['R_r_1710', 'R_r_1714', 'R_r_1880']",1905.179451,1857.280817
Env_0004,"D-galactose, D-glucose, L-aspartate","['R_r_1710', 'R_r_1714', 'R_r_1881']",1905.05584,1856.189532
Env_0005,"D-galactose, D-glucose, L-glutamate","['R_r_1710', 'R_r_1714', 'R_r_1889']",1906.070586,1880.220934
Env_0006,"D-galactose, D-glucose, L-glutamine","['R_r_1710', 'R_r_1714', 'R_r_1891']",1905.853671,1858.383585
Env_0007,"D-galactose, D-glucose, L-glycine","['R_r_1710', 'R_r_1714', 'R_r_1810']",1904.091047,1923.211193
Env_0008,"D-galactose, D-glucose, L-isoleucine","['R_r_1710', 'R_r_1714', 'R_r_1897']",1904.011434,1923.237127
Env_0009,"D-galactose, D-glucose, L-leucine","['R_r_1710', 'R_r_1714', 'R_r_1899']",1904.057756,1923.344253
Env_0010,"D-galactose, D-glucose, L-phenylalanine","['R_r_1710', 'R_r_1714', 'R_r_1903']",1730.528378,1876.834192
Env_0011,"D-galactose, D-glucose, L-serine","['R_r_1710', 'R_r_1714', 'R_r_1906']",1904.344231,1923.805331
Env_0012,"D-galactose, D-glucose, L-threonine","['R_r_1710', 'R_r_1714', 'R_r_1911']",1687.338085,1737.73632
Env_0013,"D-galactose, D-glucose, L-tryptophan","['R_r_1710', 'R_r_1714', 'R_r_1912']",1904.052147,1946.151862
Env_0014,"D-galactose, D-glucose, L-tyrosine","['R_r_1710', 'R_r_1714', 'R_r_1913']",1905.45715,1946.945908
Env_0015,"D-galactose, D-glucose, L-valine","['R_r_1710', 'R_r_1714', 'R_r_1914']",1904.12015,1924.366945
Env_0016,"D-galactose, L-alanine, L-arginine","['R_r_1710', 'R_r_1873', 'R_r_1879']",1905.28442,1879.728773
Env_0017,"D-galactose, L-alanine, L-asparagine","['R_r_1710', 'R_r_1873', 'R_r_1880']",1905.172658,1857.32043
Env_0018,"D-galactose, L-alanine, L-aspartate","['R_r_1710', 'R_r_1873', 'R_r_1881']",1905.053122,1856.209822
Env_0019,"D-galactose, L-alanine, L-glutamate","['R_r_1710', 'R_r_1873', 'R_r_1889']",1906.049752,1880.220934
Env_0020,"D-galactose, L-alanine, L-glutamine","['R_r_1710', 'R_r_1873', 'R_r_1891']",1905.836461,1858.400976
Env_0021,"D-galactose, L-alanine, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1873']",1904.638087,1924.006888
Env_0022,"D-galactose, L-alanine, L-isoleucine","['R_r_1710', 'R_r_1873', 'R_r_1897']",1904.784914,1924.586817
Env_0023,"D-galactose, L-alanine, L-leucine","['R_r_1710', 'R_r_1873', 'R_r_1899']",1904.794463,1924.652429
Env_0024,"D-galactose, L-alanine, L-lysine","['R_r_1710', 'R_r_1873', 'R_r_1900']",1904.8828,1924.379113
Env_0025,"D-galactose, L-alanine, L-methionine","['R_r_1710', 'R_r_1873', 'R_r_1902']",1904.793878,1924.220657
Env_0026,"D-galactose, L-alanine, L-phenylalanine","['R_r_1710', 'R_r_1873', 'R_r_1903']",1905.46552,1924.196033
Env_0027,"D-galactose, L-alanine, L-serine","['R_r_1710', 'R_r_1873', 'R_r_1906']",1904.642616,1924.017516
Env_0028,"D-galactose, L-alanine, L-threonine","['R_r_1710', 'R_r_1873', 'R_r_1911']",1904.74823,1924.630271
Env_0029,"D-galactose, L-alanine, L-tryptophan","['R_r_1710', 'R_r_1873', 'R_r_1912']",1904.843986,1924.088179
Env_0030,"D-galactose, L-alanine, L-tyrosine","['R_r_1710', 'R_r_1873', 'R_r_1913']",1905.208866,1924.140627
Env_0031,"D-galactose, L-alanine, L-valine","['R_r_1710', 'R_r_1873', 'R_r_1914']",1904.820237,1902.270062
Env_0032,"D-galactose, L-arginine, L-asparagine","['R_r_1710', 'R_r_1879', 'R_r_1880']",1905.326314,1879.799304
Env_0033,"D-galactose, L-arginine, L-aspartate","['R_r_1710', 'R_r_1879', 'R_r_1881']",1905.29529,1879.758724
Env_0034,"D-galactose, L-arginine, L-glutamate","['R_r_1710', 'R_r_1879', 'R_r_1889']",1905.313406,1879.779014
Env_0035,"D-galactose, L-arginine, L-glutamine","['R_r_1710', 'R_r_1879', 'R_r_1891']",1905.325408,1879.783845
Env_0036,"D-galactose, L-arginine, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1879']",1905.274457,1879.71428
Env_0037,"D-galactose, L-arginine, L-isoleucine","['R_r_1710', 'R_r_1879', 'R_r_1897']",1905.423815,1880.227531
Env_0038,"D-galactose, L-arginine, L-leucine","['R_r_1710', 'R_r_1879', 'R_r_1899']",1905.447829,1880.408278
Env_0039,"D-galactose, L-arginine, L-lysine","['R_r_1710', 'R_r_1879', 'R_r_1900']",1905.484573,1880.149385
Env_0040,"D-galactose, L-arginine, L-methionine","['R_r_1710', 'R_r_1879', 'R_r_1902']",1905.431979,1879.921605
Env_0041,"D-galactose, L-arginine, L-phenylalanine","['R_r_1710', 'R_r_1879', 'R_r_1903']",1906.09951,1879.90801
Env_0042,"D-galactose, L-arginine, L-serine","['R_r_1710', 'R_r_1879', 'R_r_1906']",1905.278986,1879.724908
Env_0043,"D-galactose, L-arginine, L-threonine","['R_r_1710', 'R_r_1879', 'R_r_1911']",1905.310689,1879.888193
Env_0044,"D-galactose, L-arginine, L-tryptophan","['R_r_1710', 'R_r_1879', 'R_r_1912']",1905.478362,1879.799412
Env_0045,"D-galactose, L-arginine, L-tyrosine","['R_r_1710', 'R_r_1879', 'R_r_1913']",1905.845095,1879.848289
Env_0046,"D-galactose, L-arginine, L-valine","['R_r_1710', 'R_r_1879', 'R_r_1914']",1905.317935,1879.76742
Env_0047,"D-galactose, L-asparagine, L-aspartate","['R_r_1710', 'R_r_1880', 'R_r_1881']",1905.178092,1857.257628
Env_0048,"D-galactose, L-asparagine, L-glutamate","['R_r_1710', 'R_r_1880', 'R_r_1889']",1905.405545,1857.29066
Env_0049,"D-galactose, L-asparagine, L-glutamine","['R_r_1710', 'R_r_1880', 'R_r_1891']",1905.854577,1858.399044
Env_0050,"D-galactose, L-asparagine, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1880']",1905.162694,1857.305938
Env_0051,"D-galactose, L-asparagine, L-isoleucine","['R_r_1710', 'R_r_1880', 'R_r_1897']",1905.301789,1857.664635
Env_0052,"D-galactose, L-asparagine, L-leucine","['R_r_1710', 'R_r_1880', 'R_r_1899']",1905.336511,1880.273393
Env_0053,"D-galactose, L-asparagine, L-lysine","['R_r_1710', 'R_r_1880', 'R_r_1900']",1905.37388,1857.609878
Env_0054,"D-galactose, L-asparagine, L-methionine","['R_r_1710', 'R_r_1880', 'R_r_1902']",1905.316291,1857.436784
Env_0055,"D-galactose, L-asparagine, L-phenylalanine","['R_r_1710', 'R_r_1880', 'R_r_1903']",1905.995101,1879.854931
Env_0056,"D-galactose, L-asparagine, L-serine","['R_r_1710', 'R_r_1880', 'R_r_1906']",1905.167223,1857.316566
Env_0057,"D-galactose, L-asparagine, L-threonine","['R_r_1710', 'R_r_1880', 'R_r_1911']",1905.193491,1857.387097
Env_0058,"D-galactose, L-asparagine, L-tryptophan","['R_r_1710', 'R_r_1880', 'R_r_1912']",1905.368206,1857.424821
Env_0059,"D-galactose, L-asparagine, L-tyrosine","['R_r_1710', 'R_r_1880', 'R_r_1913']",1905.73888,1879.7573
Env_0060,"D-galactose, L-asparagine, L-valine","['R_r_1710', 'R_r_1880', 'R_r_1914']",1905.329356,1857.71986
Env_0061,"D-galactose, L-aspartate, L-glutamate","['R_r_1710', 'R_r_1881', 'R_r_1889']",1906.05247,1880.200644
Env_0062,"D-galactose, L-aspartate, L-glutamine","['R_r_1710', 'R_r_1881', 'R_r_1891']",1905.841895,1858.338174
Env_0063,"D-galactose, L-aspartate, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1881']",1905.043158,1856.195329
Env_0064,"D-galactose, L-aspartate, L-isoleucine","['R_r_1710', 'R_r_1881', 'R_r_1897']",1905.17104,1878.955922
Env_0065,"D-galactose, L-aspartate, L-leucine","['R_r_1710', 'R_r_1881', 'R_r_1899']",1905.185426,1857.395552
Env_0066,"D-galactose, L-aspartate, L-lysine","['R_r_1710', 'R_r_1881', 'R_r_1900']",1905.243209,1856.825709
Env_0067,"D-galactose, L-aspartate, L-methionine","['R_r_1710', 'R_r_1881', 'R_r_1902']",1905.194396,1856.36468
Env_0068,"D-galactose, L-aspartate, L-phenylalanine","['R_r_1710', 'R_r_1881', 'R_r_1903']",1905.876947,1856.515549
Env_0069,"D-galactose, L-aspartate, L-serine","['R_r_1710', 'R_r_1881', 'R_r_1906']",1905.047687,1856.205957
Env_0070,"D-galactose, L-aspartate, L-threonine","['R_r_1710', 'R_r_1881', 'R_r_1911']",1905.114268,1856.683377
Env_0071,"D-galactose, L-aspartate, L-tryptophan","['R_r_1710', 'R_r_1881', 'R_r_1912']",1905.249829,1856.308724
Env_0072,"D-galactose, L-aspartate, L-tyrosine","['R_r_1710', 'R_r_1881', 'R_r_1913']",1905.619427,1856.424083
Env_0073,"D-galactose, L-aspartate, L-valine","['R_r_1710', 'R_r_1881', 'R_r_1914']",1905.183595,1857.105628
Env_0074,"D-galactose, L-glutamate, L-glutamine","['R_r_1710', 'R_r_1889', 'R_r_1891']",1905.860011,1858.358464
Env_0075,"D-galactose, L-glutamate, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1889']",1906.042506,1880.186152
Env_0076,"D-galactose, L-glutamate, L-isoleucine","['R_r_1710', 'R_r_1889', 'R_r_1897']",1906.15016,1880.731358
Env_0077,"D-galactose, L-glutamate, L-leucine","['R_r_1710', 'R_r_1889', 'R_r_1899']",1906.14576,1881.372169
Env_0078,"D-galactose, L-glutamate, L-lysine","['R_r_1710', 'R_r_1889', 'R_r_1900']",1906.153542,1880.555526
Env_0079,"D-galactose, L-glutamate, L-methionine","['R_r_1710', 'R_r_1889', 'R_r_1902']",1906.197131,1880.386505
Env_0080,"D-galactose, L-glutamate, L-phenylalanine","['R_r_1710', 'R_r_1889', 'R_r_1903']",1906.871075,1880.492615
Env_0081,"D-galactose, L-glutamate, L-serine","['R_r_1710', 'R_r_1889', 'R_r_1906']",1906.047035,1880.19678
